,name,score
0,256mb ddr radeon 9800 xt,37
1,6fdf ff,9528
2,7900 mod radeon hd 6520g,610
3,7900 mod radeon hd 6550d,892
4,a10 12q,9493
5,a10 4q,2764
6,a10 8q,7038
7,a16,5280
8,a16 1q,3275
9,a16 2b,2317
10,a16 2q,4747
11,a16 4q,4386
12,a16 8q,4351
13,a40 24q,3317
14,a40 48q,10436
15,a6 micro 6500t quad core apu with radeonr4,220
16,abit siluro t400,3
17,all in wonder 9000,4
18,all in wonder 9800,23
19,all in wonder radeon 8500dv,5
20,all in wonder x1800xl,30
21,all in wonder x1900,127
22,all in wonder x800 gt,84
23,ryzen z1 extreme,6487
24,amigamerlin 3 1 r1 for voodoo 4 4500 pci,3
25,asus a7000,9
26,asus agp v3800pro v31 40h,4
27,asus eah4870x2,496
28,asus gtx 650 fml ii ec egpu,720
29,asus v9520 x v62 11,7
30,b8dkmdap,4557
31,barco mxrt 1450,205
32,barco mxrt 2600,900
33,barco mxrt 5400,1161
34,barco mxrt 5450,1079
35,barco mxrt 5500,2701
36,barco mxrt 5600,2465
37,barco mxrt 7100,180
38,barco mxrt 7400,900
39,barco mxrt 7500,3753
40,barco mxrt 7600,4943
41,basicdisplay,69
42,carrizo 9874,226
43,citrix indirect display adapter,1888
44,cmp 30hx,5376
45,cmp 40hx,8924
46,connect 3d radeon x300,36
47,custom 0405,2929
48,custom 0932,3254
49,dell 8100,2
50,dell 8200,4
51,diamond x1300 pcie 256mb,70
52,displaylink usb device ryzen 7 pro 7735u,2677
53,eah5450,134
54,eizo quadro med xn51lp,4951
55,eizo quadro med xn72,9036
56,eizo quadro med xn92,17035
57,embedded radeon e9173,1773
58,eng sample 100 000000560 40 y,5655
59,eng sample 100 000000561 40 y,4206
60,extreme ax850 pro,120
61,firegl t2 128,30
62,firegl v3100,52
63,firegl v3200,84
64,firegl v3300,70
65,firegl v3350,68
66,firegl v3400,103
67,firegl v3600,179
68,firegl v5100,92
69,firegl v5200,114
70,firegl v5600,341
71,firegl v7100,71
72,firegl v7200,116
73,firegl v7300,128
74,firegl v7350,110
75,firegl v7600,615
76,firegl v7700,660
77,firegl v8600,838
78,firegl v8650,550
79,firegl x1,59
80,firemv 2200 pci,1
81,firemv 2200 pcie,36
82,firemv 2250,45
83,firemv 2260,117
84,firemv 2400 pcie,11
85,firemv 2450,73
86,firepro 2260,112
87,firepro 2270,142
88,firepro 2450,51
89,firepro 2460,170
90,firepro 3d v3700,178
91,firepro 3d v3750,341
92,firepro 3d v3800,472
93,firepro 3d v4800,853
94,firepro 3d v5700,546
95,firepro 3d v5800,1231
96,firepro 3d v7750,545
97,firepro 3d v7800,1867
98,firepro 3d v8700,1206
99,firepro 3d v8750,1271
100,firepro 3d v8800,2437
101,firepro 3d v9800,2811
102,firepro m2000,425
103,firepro m4000,1593
104,firepro m4000 mobility pro,1629
105,firepro m40003,1364
106,firepro m4100,1059
107,firepro m4150,1020
108,firepro m4170,1188
109,firepro m5100,1874
110,firepro m5100 firegl v,1839
111,firepro m5950,1314
112,firepro m6000,1820
113,firepro m6000 mobility pro,1712
114,firepro m6100,2417
115,firepro m6100 firegl v,2880
116,firepro m7740,665
117,firepro r5000,2646
118,firepro rg220,335
119,firepro s10000,4768
120,firepro s7000,4523
121,firepro s7150,3770
122,firepro s9000,5059
123,firepro s9050,4901
124,firepro v3800,320
125,firepro v3900,637
126,firepro v4900,1009
127,firepro v5700,464
128,firepro v5800,1180
129,firepro v5900,1232
130,firepro v7000,3161
131,firepro v7800,2028
132,firepro v7900,2260
133,firepro v8700,1538
134,firepro v8800,2280
135,firepro v9800,2726
136,firepro w2100,848
137,firepro w4100,1508
138,firepro w4170m,1059
139,firepro w4190m,1168
140,firepro w4300,2723
141,firepro w5000,2958
142,firepro w5100,2984
143,firepro w5130m,1367
144,firepro w5170m,1840
145,firepro w600,1685
146,firepro w6150m,2358
147,firepro w7000,4273
148,firepro w7000 adapter,4359
149,firepro w7100,5152
150,firepro w7170m,2899
151,firepro w8000,4259
152,firepro w8100,6671
153,firepro w9000,6157
154,firepro w9100,7747
155,firestream 9170,647
156,firestream 9250,1164
157,firestream 9270,1341
158,firestream 9370,2528
159,gecube radeon 7000,8
160,geforce 205,126
161,geforce 210,131
162,geforce 240m gt,319
163,geforce 256,5
164,geforce 305m,150
165,geforce 310,143
166,geforce 310m,125
167,geforce 315,196
168,geforce 315m,114
169,geforce 320m,209
170,geforce 405,117
171,geforce 410m,269
172,geforce 505,143
173,geforce 510,290
174,geforce 605,320
175,geforce 6100,27
176,geforce 6100 nforce 400,25
177,geforce 6100 nforce 405,26
178,geforce 6100 nforce 420,25
179,geforce 6100 nforce 430,23
180,geforce 610m,292
181,geforce 615,507
182,geforce 6150,21
183,geforce 6150 le,33
184,geforce 6150se,24
185,geforce 6150se nforce 430,30
186,geforce 6200,37
187,geforce 6200 a le,32
188,geforce 6200 le,32
189,geforce 6200 turbocache,51
190,geforce 6200a,3
191,geforce 6200se turbocache,37
192,geforce 6500,38
193,geforce 6600,86
194,geforce 6600 gt,142
195,geforce 6600 le,51
196,geforce 6610 xl,88
197,geforce 6700 xl,95
198,geforce 6800,112
199,geforce 6800 gs,191
200,geforce 6800 gs xt,102
201,geforce 6800 gt,142
202,geforce 6800 le,109
203,geforce 6800 ultra,138
204,geforce 6800 xe,58
205,geforce 6800 xt,120
206,geforce 7000m,13
207,geforce 7000m nforce 610m,12
208,geforce 7025 nforce 630a,32
209,geforce 7050 nforce 610i,25
210,geforce 7050 nforce 620i,41
211,geforce 7050 nforce 630i,37
212,geforce 7050 pv nforce 630a,31
213,geforce 705m,455
214,geforce 7100 nforce 620i,26
215,geforce 7100 nforce 630i,41
216,geforce 7100 gs,51
217,geforce 710a,485
218,geforce 710m,450
219,geforce 7150 nforce 630i,33
220,geforce 7150m nforce 630m,18
221,geforce 7200 gs,23
222,geforce 720a,577
223,geforce 7300 gs,78
224,geforce 7300 gt,123
225,geforce 7300 le,80
226,geforce 7300 se,39
227,geforce 7300 se 7200 gs,48
228,geforce 730a,770
229,geforce 7350 le,74
230,geforce 7500 le,84
231,geforce 7600 gs,160
232,geforce 7600 gt,237
233,geforce 7650 gs,134
234,geforce 770m,3245
235,geforce 7800 gs,177
236,geforce 7800 gt,244
237,geforce 7800 gtx,290
238,geforce 7900 gs,253
239,geforce 7900 gt,258
240,geforce 7900 gt gto,247
241,geforce 7900 gtx,387
242,geforce 7950 gt,346
243,geforce 7950 gx2,201
244,geforce 7950 xtreme,287
245,geforce 800a,476
246,geforce 800m,477
247,geforce 8100 nforce 720a,79
248,geforce 810a,655
249,geforce 810m,419
250,geforce 8200,163
251,geforce 8200m g,65
252,geforce 820a,556
253,geforce 820m,485
254,geforce 825m,770
255,geforce 8300,101
256,geforce 8300 gs,115
257,geforce 830a,1156
258,geforce 830m,1008
259,geforce 8400,81
260,geforce 8400 gs,159
261,geforce 8400 se,68
262,geforce 8400m g,105
263,geforce 8400m gs,100
264,geforce 8400m gt,66
265,geforce 840a,1123
266,geforce 840m,1100
267,geforce 845m,1488
268,geforce 8500 gt,167
269,geforce 8600 gs,143
270,geforce 8600 gt,131
271,geforce 8600 gts,183
272,geforce 8600m gs,88
273,geforce 8600m gt,167
274,geforce 8700m gt,124
275,geforce 8800 gs,330
276,geforce 8800 gt,460
277,geforce 8800 gts,406
278,geforce 8800 gts 512,549
279,geforce 8800 gtx,565
280,geforce 8800 ultra,642
281,geforce 8800m gts,382
282,geforce 8800m gtx,462
283,geforce 9100,81
284,geforce 9100m g,68
285,geforce 910m,595
286,geforce 9200,169
287,geforce 9200m ge,143
288,geforce 9200m gs,129
289,geforce 920a,831
290,geforce 920m,717
291,geforce 920mx,1068
292,geforce 9300,126
293,geforce 9300 nforce 730i,128
294,geforce 9300 ge,95
295,geforce 9300 gs,102
296,geforce 9300 se,81
297,geforce 9300ge,97
298,geforce 9300m g,84
299,geforce 9300m gs,118
300,geforce 930a,1263
301,geforce 930m,1008
302,geforce 930mx,1284
303,geforce 9400,143
304,geforce 9400 gt,168
305,geforce 9400m,101
306,geforce 9400m g,67
307,geforce 940a,1106
308,geforce 940m,1129
309,geforce 940mx,1511
310,geforce 9450,104
311,geforce 945a,1852
312,geforce 945m,2108
313,geforce 9500 gs,215
314,geforce 9500 gt,179
315,geforce 9500m,103
316,geforce 9500m g,121
317,geforce 9500m gs,134
318,geforce 9600 gs,281
319,geforce 9600 gso,323
320,geforce 9600 gso 512,329
321,geforce 9600 gt,478
322,geforce 9600m gs,130
323,geforce 9600m gt,149
324,geforce 9600m gt geforce gt 220m,293
325,geforce 9650m gs,270
326,geforce 9650m gt,137
327,geforce 9700m gt,327
328,geforce 9700m gts,278
329,geforce 9800 gt,451
330,geforce 9800 gt 1024mb,134
331,geforce 9800 gtx,769
332,geforce 9800 gtx,499
333,geforce 9800 gtx 9800 gtx,591
334,geforce 9800 gx2,612
335,geforce 9800 s,635
336,geforce 9800m gs,534
337,geforce 9800m gt,381
338,geforce 9800m gts,356
339,geforce 9800m gtx,454
340,geforce 999 gtx,83
341,geforce fx 5100,7
342,geforce fx 5200,7
343,geforce fx 5200 ultra,12
344,geforce fx 5200le,7
345,geforce fx 5200se,11
346,geforce fx 5500,8
347,geforce fx 5600,12
348,geforce fx 5600 ultra,17
349,geforce fx 5600xt,9
350,geforce fx 5700,40
351,geforce fx 5700 ultra,34
352,geforce fx 5700le,24
353,geforce fx 5700ve,33
354,geforce fx 5900,34
355,geforce fx 5900 ultra,41
