,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
0,256MB DDR Radeon 9800 XT,37,2473,,
1,6FDF:FF,9528,273,,
2,7900 MOD - Radeon HD 6520G,610,1625,,
3,7900 MOD - Radeon HD 6550D,892,1350,,
4,A10-12Q,9493,276,,
5,A10-4Q,2764,709,,
6,A10-8Q,7038,355,,
7,A16,5280,454,,
8,A16-1Q,3275,640,,
9,A16-2B,2317,799,,
10,A16-2Q,4747,507,,
11,A16-4Q,4386,536,,
12,A16-8Q,4351,539,,
13,A40-24Q,3317,636,,
14,A40-48Q,10436,252,,
15,A6 Micro-6500T Quad-Core APU with RadeonR4,220,2048,,
16,ABIT Siluro T400,3,2668,,
17,ALL-IN-WONDER 9000,4,2635,,
18,ALL-IN-WONDER 9800,23,2541,,
19,ALL-IN-WONDER RADEON 8500DV,5,2621,,
20,All-in-Wonder X1800XL,30,2513,,
21,All-in-Wonder X1900,127,2196,,
22,ALL-IN-WONDER X800 GT,84,2317,,
23,AMD Ryzen Z1 Extreme,6487,376,,
24,AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,2693,,
25,ASUS A7000,9,2581,,
26,ASUS AGP-V3800PRO v31.40H,4,2654,,
27,ASUS EAH4870x2,496,1776,,
28,Asus GTX 650 FML II EC-EGPU,720,1501,,
29,ASUS V9520-X V62.11,7,2592,,
30,B8DKMDAP,4557,518,,
31,Barco MXRT 1450,205,2067,,
32,Barco MXRT 2600,900,1346,4.52,$199.00*
33,Barco MXRT 5400,1161,1200,5.72,$203.00*
34,Barco MXRT 5450,1079,1235,5.4,$199.99*
35,Barco MXRT 5500,2701,723,9.04,$299.00*
36,Barco MXRT 5600,2465,763,3.5,$704.00*
37,Barco MXRT 7100,180,2091,,
38,Barco MXRT 7400,900,1344,9.1,$99.00*
39,Barco MXRT 7500,3753,584,12.55,$299.00*
40,Barco MXRT 7600,4943,487,8.2,$602.59*
41,BASICDISPLAY,69,2360,,
42,CARRIZO 9874,226,2037,,
43,Citrix Indirect Display Adapter,1888,936,,
44,CMP 30HX,5376,445,,
45,CMP 40HX,8924,293,,
46,CONNECT 3D RADEON X300,36,2479,,
47,Custom GPU 0405,2929,688,,
48,Custom GPU 0932,3254,643,,
49,Dell 8100,2,2718,0.0,$999.11*
50,Dell 8200,4,2656,,
51,Diamond X1300-PCIE 256MB,70,2359,,
52,DisplayLink USB Device Ryzen 7 Pro 7735U,2677,730,,
53,EAH5450,134,2179,1.22,$109.99*
54,EIZO Quadro MED-XN51LP,4951,486,,
55,EIZO Quadro MED-XN72,9036,291,,
56,EIZO Quadro MED-XN92,17035,110,,
57,Embedded Radeon E9173,1773,973,,
58,Eng Sample: 100-000000560-40_Y,5655,419,,
59,Eng Sample: 100-000000561-40_Y,4206,551,,
60,Extreme AX850 PRO,120,2219,,
61,FireGL T2-128,30,2510,,
62,FireGL V3100,52,2405,,
63,FireGL V3200,84,2314,,
64,FireGL V3300,70,2357,,
65,FireGL V3350,68,2366,,
66,FireGL V3400,103,2268,,
67,FireGL V3600,179,2092,1.12,$160.99*
68,FireGL V5100,92,2299,0.81,$114.96*
69,FireGL V5200,114,2236,0.86,$133.40*
70,FireGL V5600,341,1923,1.52,$225.00*
71,FireGL V7100,71,2351,0.22,$328.67*
72,FireGL V7200,116,2230,,
73,FireGL V7300,128,2193,0.11,"$1,189.99*"
74,FireGL V7350,110,2247,0.93,$119.42*
75,FireGL V7600,615,1615,,
76,FireGL V7700,660,1556,9.43,$69.99*
77,FireGL V8600,838,1382,,
78,FireGL V8650,550,1703,1.84,$298.99*
79,FireGL X1,59,2393,,
80,FireMV 2200 PCI,1,2735,,
81,FireMV 2200 PCIe,36,2481,0.4,$89.99*
82,FireMV 2250,45,2435,0.44,$104.00*
83,FireMV 2260,117,2225,1.33,$88.08*
84,FireMV 2400 PCIe,11,2573,,
85,FireMV 2450,73,2345,,
86,FirePro 2260,112,2240,,
87,FirePro 2270,142,2156,1.06,$134.00*
88,FirePro 2450,51,2415,0.57,$89.99*
89,FirePro 2460,170,2107,2.03,$83.99*
90,FirePro 3D V3700,178,2096,2.1,$84.99*
91,FirePro 3D V3750,341,1921,6.71,$50.88*
92,FirePro 3D V3800,472,1807,3.15,$149.99*
93,FirePro 3D V4800,853,1372,5.33,$159.99*
94,FirePro 3D V5700,546,1712,1.71,$319.99*
95,FirePro 3D V5800,1231,1169,6.04,$204.00*
96,FirePro 3D V7750,545,1715,1.56,$350.00*
97,FirePro 3D V7800,1867,946,3.11,$599.99*
98,FirePro 3D V8700,1206,1177,7.09,$170.07*
99,FirePro 3D V8750,1271,1152,1.03,"$1,230.99*"
100,FirePro 3D V8800,2437,767,5.74,$424.99*
101,FirePro 3D V9800,2811,702,1.13,"$2,499.00*"
102,FirePro M2000,425,1852,,
103,FirePro M4000,1593,1045,21.88,$72.83*
104,FirePro M4000 Mobility Pro,1629,1028,,
105,FirePro M40003,1364,1123,,
106,Firepro M4100,1059,1245,,
107,FirePro M4150,1020,1264,,
108,FirePro M4170,1188,1188,,
109,FirePro M5100,1874,942,,
110,FirePro M5100 FireGL V,1839,956,,
111,FirePro M5950,1314,1137,,
112,FirePro M6000,1820,964,5.58,$325.99*
113,FirePro M6000 Mobility Pro,1712,994,,
114,FirePro M6100,2417,771,,
115,FirePro M6100 FireGL V,2880,694,,
116,FirePro M7740,665,1553,,
117,FirePro R5000,2646,732,24.06,$109.99*
118,FirePro RG220,335,1929,0.52,$650.18*
119,FirePro S10000,4768,504,,
120,FirePro S7000,4523,520,18.35,$246.54*
121,FirePro S7150,3770,582,2.22,"$1,697.99*"
122,FirePro S9000,5059,476,,
123,FirePro S9050,4901,493,,
124,FirePro V3800,320,1947,2.57,$124.99*
125,FirePro V3900,637,1588,2.67,$238.44*
126,FirePro V4900,1009,1269,6.73,$149.99*
127,FirePro V5700,464,1815,2.47,$188.06*
128,FirePro V5800,1180,1189,22.27,$53.00*
129,FirePro V5900,1232,1168,14.33,$86.00*
130,FirePro V7000,3161,659,,
131,FirePro V7800,2028,884,10.68,$190.00*
132,FirePro V7900,2260,821,11.9,$190.00*
133,FirePro V8700,1538,1069,9.75,$157.88*
134,FirePro V8800,2280,811,11.52,$198.00*
135,FirePro V9800,2726,718,5.75,$474.00*
136,FirePro W2100,848,1377,14.39,$59.00*
137,FirePro W4100,1508,1077,8.2,$184.00*
138,FirePro W4170M,1059,1244,,
139,Firepro W4190M,1168,1193,,
140,FirePro W4300,2723,720,11.35,$239.99*
141,FirePro W5000,2958,683,16.08,$184.00*
142,FirePro W5100,2984,676,23.69,$125.99*
143,FirePro W5130M,1367,1120,,
144,Firepro W5170M,1840,955,,
145,FirePro W600,1685,1006,4.06,$414.99*
